ESG,ESGName
1,1. Festuca-Forbs
2,2. Small bunch grass-Forbs
3,3. Forbs-Grass-Carex
4,4. Stipa baicalensis
5,5. Grass-Forbs riparian
6,6. Stipa krylovii-Small bunch grass
7,7. Stipa krylovii-grass dry steppe
8,8. Stipa krylovii-grass with Caragena steppe
9,9. Stipa grandis-Elymus chinensis-Forbs
10,10. Achnatherum splendens
11,11. Stipa gobica/glareosa-Semi-shrub
12,12. Stipa gobica/glareosa-Grass-Allium
13,13. Stipa gobica/glareosa-Semi-shrub-Allium polyrrhizum
14,14. Achnatherum splendens-Kalidium foliatum
15,15. Psammochloa villosa
16,16. Sympegma regelii-Anabasis brevifolia
17,17. Semi-shrub desert rangeland
18,18. Haloxylon ammodendron
19,19. Nitraria spp.-Haloxylon ammodendron
20,20. Cryophyte forbs-small bunch grass
21,21. Festuca spp.-Cryophyte forbs
22,22. Tall bunch grass-Xero-mesophyte forbs
