"Shape_Leng","Shape_Area","ADM2_EN","ADM2_MN","ADM2_PCODE","ADM2_REF","ADM2ALT1EN","ADM2ALT2EN","ADM2ALT1MN","ADM2ALT2MN","ADM1_EN","ADM1_MN","ADM1_PCODE","ADM0_EN","ADM0_MN","ADM0_PCODE","date","validOn","validTo","ID","SOCmean","SOCmin","SOCmax","SOCsd"
2.94248547004,0.383758525646,"Altai","Алтай","MN8304",NA,NA,NA,NA,NA,"Bayan-Olgii","Баян-Өлгий","MN83","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,1,54.775177767146,25.0734372720718,73.888829679283,7.16732901392854
5.66569763546,1.5169200173,"Altai","Алтай","MN8404",NA,NA,NA,NA,NA,"Khovd","Ховд","MN84","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,2,28.5402487112,17.1852142914534,76.9836860614443,9.81014331062097
2.74980449061,0.221154521351,"Altanco'gc","Алтанцөгц","MN8307","Altancogc",NA,NA,NA,NA,"Bayan-Olgii","Баян-Өлгий","MN83","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,3,44.110061437877,29.7123063963776,67.0360012874124,7.40051511067142
3.35333354731,0.40216315546,"Baruunturuun","Баруунтуруун","MN8504",NA,NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,4,58.5317530716523,42.2492596457244,77,5.88827093006541
2.60064818666,0.286112130564,"Bayannuur","Баяннуур","MN8310",NA,NA,NA,NA,NA,"Bayan-Olgii","Баян-Өлгий","MN83","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,5,45.7007258058094,28.0374802842059,77.7689420096017,7.74434837469105
3.96479001838,0.476716901709,"Bo'xmoron","Бөхмөрөн","MN8507","Boxmoron",NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,6,48.6171709945256,36.0275568607344,80.1422555410802,8.43591252367197
3.37870733326,0.250437526778,"Bugat","Бугат","MN8313",NA,NA,NA,NA,NA,"Bayan-Olgii","Баян-Өлгий","MN83","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,7,48.8746446667876,29.5058147736914,68.9433659015819,8.2625828602386
4.4036521563,0.584327389555,"Bulgan","Булган","MN8316",NA,NA,NA,NA,NA,"Bayan-Olgii","Баян-Өлгий","MN83","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,8,52.3935132338587,24.3204782298715,73.9284721076747,7.63111140246279
5.41352383885,0.940209965201,"Bulgan","Булган","MN8407",NA,NA,NA,NA,NA,"Khovd","Ховд","MN84","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,9,28.4767643350815,15.8208637778175,66.956006969627,11.2409595556742
2.55780527244,0.223386777834,"Buyant","Буянт","MN8319",NA,NA,NA,NA,NA,"Bayan-Olgii","Баян-Өлгий","MN83","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,10,46.011950888895,24.5233413462819,68.3953178119957,8.14076251599932
