Region,ESG,State,ExistingPlots
Central,1: Festuca-forbs,1,0
Central,1: Festuca-forbs,2,3
Central,1: Festuca-forbs,3,0
Central,1: Festuca-forbs,4,0
Central,3: Forbs-grass-carex,1,0
Central,3: Forbs-grass-carex,2,0
Central,3: Forbs-grass-carex,3,0
Central,5: Grass-forbs,1,0
Central,5: Grass-forbs,2,0
Central,5: Grass-forbs,3,0
Central,6: Stipa krylovii,1,0
Central,6: Stipa krylovii,2,0
Central,6: Stipa krylovii,3,0
Central,9: Stipa grandis,1,6
Central,9: Stipa grandis,2,35
Central,9: Stipa grandis,3,1
Central,9: Stipa grandis,4,2
East,6: Stipa krylovii,1,14
East,6: Stipa krylovii,2,3
East,6: Stipa krylovii,3,2
East,9: Stipa grandis,1,2
East,9: Stipa grandis,2,11
East,9: Stipa grandis,3,24
East,9: Stipa grandis,4,3
