SiteID,plots_stms_PlotID,sfs_plots_PlotID
AR-Chuluut,Hairkhan-Emt namarjaa,"Hairhan, Imt"
AR-Chuluut,Haluun us-Tsagaan hotol,"Haluun us, Tsagaan hutul"
AR-Chuluut,Zuun mod-Tsohiot,"Zuun mod, Tsohiot"
AR-Chuluut,Zuunmod-Narangiin enger,"Zuun mod, Narangiin enger"
AR-Erdenemandal,Alag uul-Baga bulag,"Alag uul, Baga bulgiin uvuljuu"
AR-Erdenemandal,Erdene uul-Oldoh zuslan,"Erdene-Uul, Oldoh"
AR-Erdenemandal,Han ondor-Shanaga havarjaa,"Han undur, Shanaga"
AR-Erdenemandal,Ider ulaan-Shar enger,"Ider ulaan, Shar enger"
AR-Erdenemandal,Teel-Gongoriin jalga,"Teel, Gongoriin jalga"
BU-Dashinchilen,Haraat-Huhiin hooloi2,Huhiin hooloi
BU-Dashinchilen,Lah-Zaidan5,Zaidan
BU-Dashinchilen,Suujiin gol-Baruun hajuu1,Baruunhajuu
BU-Mogod,Bayan-Uul-Uvur bulag4,"Bayan uul, Uvur bulag"
BU-Mogod,Bayasgalant-Tsohioni ar2,"Bayasgalant, Tsohionii ar"
BU-Mogod,Erhet-Nomgon1,"Y bag, Nomgon"
BU-Mogod,Jargalant-Huuvriin ih shand5,"Jargalant, Huurviin eh"
DG-Delgereh,Aman shand-Nudengiin tolgod,Nudengiin tolgod
DG-Delgereh,Aman shand-Teegiin tal,Teegiin tal
DG-Delgereh,Bumbat-Hamriin uul,Hamriin uul
DG-Delgereh,Bumbat-Murgutsugiin uul,Murugtsugiin uul
DG-Delgereh,Tsagaan had-Hur,Hur
DO-Bayandun,Hairhan-Bayanganga,Bayan ganga
DO-Bayandun,Naran-Biluut,Biluut
DO-Bayandun,Turgen-Tsagaan nuur,Tsagaan nuur
DO-Bayandun,Yrgai-Yrgai,Yargai
DO-Bayan-Uul,Ereen-Uisen,Uisen
DO-Bayan-Uul,Har chuluut-Har nuur,Har nuur
DO-Bayan-Uul,Har chuluut-Hust,Hust
DO-Bayan-Uul,Urtiin adag-Shinest uul,Shinest
DO-Bayan-Uul,Zayat-Holboo nuur,Holboo
DO-Chuluunhoroot,Galuut-Galuut nuur,Galuut nuur
DO-Chuluunhoroot,Tsagaan chuluut-Angirt nuur,Angirt
DO-Dashbalbar,Chuh-Chuh,Chukh
DO-Dashbalbar,Harzat-Hoh chuluu,Huh chuluun
DO-Dashbalbar,Nomint-Delger nuur,Delger nuur
DO-Dashbalbar,Ulz-Ar nuur,Arnuur
DO-Matad,Bayanhangai-Har had,Har had
DO-Matad,Jargalant-Baruun toson,Baruuntoson
DO-Sergelen,Barchin-Tsagaan ondor,Tsagaan undur durvuljin
DO-Sergelen,Bayan-Bayantal,Bayantal
DO-Sergelen,Hurgan-Ar hooloi,Arhooloi
DO-Sergelen,Ochir hureet-Buhat,Buht
DO-Tsagaan-Ovoo,Bayangol-Bayangol,TO_Bayangol
DO-Tsagaan-Ovoo,Elst-Elst,Elst
DO-Tsagaan-Ovoo,Elst-Elst,Guntsengeleg
DO-Tsagaan-Ovoo,Guntsengeleg-Guntsengeleg,Guntsengeleg
DO-Tsagaan-Ovoo,Hureet-Belchir hureet,Belchirhureet
DO-Tsagaan-Ovoo,Huuvur-Huuvur,Huuvur
DO-Tsagaan-Ovoo,Zurh-Ulent,Ulunt
DU-Erdenedalai,Ongot-Ergenegiin govi,Eregneg gobi
DU-Erdenedalai,Rashaant-Gedreg serven,Gedreg serven
DU-Erdenedalai,Sangiin dalai-Hadat,Sangiin dalai
DU-Erdenedalai,Tengeleg-Ulaan hudag,Eregneg gobi
DU-Erdenedalai,Tsavchir-Galuutain bor ondor,Galuutai bor undur
GS-Bayantal,Teregtiin tal-Teregtiin tal,Teregtiin tal
GS-Shiveegobi,Tsoorhoi-Tsoorhoi,Tsoorhoi
GS-Sumber,Shar had-Shar had,Shar had
GS-Sumber,Tsagaan tolgoi-Tsagaan tolgoi,Tsagaan tolgoi
HE-Bayan-Ovoo,Delgerhaan-Hoh-dev,Huh dev
HE-Bayan-Ovoo,Sumber-Tomstei,Tumstei
HU-Alag-Erdene,Bayasgalan-Hamriin am,"Tsagaan burgas, Hamariin am"
HU-Alag-Erdene,Manhan-Manhan,"Janhai, Janhai"
HU-Alag-Erdene,Manhan-Manhan,"Tsahir, Urhut"
HU-Alag-Erdene,Manhan-Manhan,"Chuluut, Alag tsar"
HU-Alag-Erdene,Manhan-Manhan,"Chuluut, Ulaan davaa"
HU-Alag-Erdene,Manhan-Manhan,"Hushuut, Ulaan mod"
